state,postal,threshold_handgun,threshold_long_gun,year_adopted,notes
California,CA,10,10,2000,"Sale ban Penal Code 32310 (effective 2000); possession ban added 2016 (Prop 63) effective 2017. Threshold: 10 rounds for both handgun and long-gun magazines."
Colorado,CO,15,15,2013,"HB13-1224. 15-round limit on detachable handgun and long-gun magazines; tube-fed .22 rimfires exempt. Possession of pre-existing LCMs grandfathered."
Connecticut,CT,10,10,2013,"PA 13-3 (post-Sandy Hook). 10-round threshold for sale and transfer; pre-existing LCMs require declaration/registration."
Delaware,DE,17,17,2022,"HB 450 (2022). 17-round limit on sale of LCMs (defines LCM as >17 rounds); ownership of pre-existing LCMs grandfathered with restrictions."
District of Columbia,DC,10,10,1932,"DC ban on LCMs >10 rounds; reaffirmed under DC Code 7-2506.01. Sale and possession both prohibited."
Hawaii,HI,10,,1992,"Hawaii Revised Statutes 134-8. 10-round threshold applies to handgun magazines only; long-gun magazines have no statutory cap."
Illinois,IL,15,10,2023,"Protect Illinois Communities Act (PICA), PA 102-1116. 15-round limit for handgun magazines, 10-round limit for long-gun magazines. Possession of pre-existing LCMs grandfathered with registration."
Maryland,MD,10,10,2013,"Firearm Safety Act of 2013, Public Safety 4-305. 10-round limit applies to manufacture, sale, transfer, purchase, and receipt; possession of pre-existing LCMs not banned."
Massachusetts,MA,10,10,1998,"Massachusetts General Laws Chapter 140 § 121, § 131M. Sale and possession of post-1994 LCMs >10 rounds banned; pre-1994 LCMs grandfathered."
New Jersey,NJ,10,10,1990,"NJ Statute 2C:39-1y, 2C:39-3j. Original 1990 cap was 15 rounds; lowered to 10 by P.L.2018, c.39 (2018)."
New York,NY,10,10,2013,"NY SAFE Act (Penal Law 265.36-37). 10-round limit replacing prior 1994 federal-style 10-round Assault Weapon ban; SAFE Act's 7-round loading limit was struck down."
Oregon,OR,10,10,2022,"Measure 114 (2022). 10-round limit for sale and transfer; status pending litigation but statute enacted."
Rhode Island,RI,10,10,2022,"RIGL 11-47.1 (signed June 21, 2022, effective Dec 18, 2022). 10-round limit; sale and possession both prohibited (no grandfather clause)."
Vermont,VT,15,10,2018,"Vermont Statute 13 V.S.A. § 4021. 15-round limit on handgun magazines, 10-round limit on long-gun magazines. Possession of pre-existing LCMs grandfathered."
Washington,WA,10,10,2022,"RCW 9.41.370 (SB 5078, 2022). 10-round limit on sale and transfer; possession of pre-existing LCMs grandfathered."
