state,state_abbr,treatment_variable,adoption_rule,adoption_year,included_in_mortality_sample,absorbing_after_adoption_through_2024,post_adoption_reversal_years,starts_banned_1999,ends_banned_2023,ten_round_limit_2023,first_observed_adoption_year_any_panel,notes_rand_crosscheck
Alaska,AK,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Alabama,AL,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Arkansas,AR,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Arizona,AZ,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
California,CA,magazine,first 0-to-1 switch in magazine (Tufts),2000,False,True,,0,1,1,2000,CA Roberti-Roos AWB (1989) banned LCMs for assault weapons; the broad LCM sale ban (Penal Code 32310) took effect 2000 (10-round). CA tightened to a possession ban in 2016 (Prop 63). Tufts: 0->1 in 2000; excluded from cohorts because 2000 - 5 = 1995 < ANALYSIS_LO. Matches RAND.
Colorado,CO,magazine,first 0-to-1 switch in magazine (Tufts),2013,True,True,,0,1,0,2013,"CO HB 13-1224, effective July 1 2013 (post-Aurora/Sandy Hook). 15-round limit. Tufts: 0->1 in 2013. Matches RAND."
Connecticut,CT,magazine,first 0-to-1 switch in magazine (Tufts),2013,True,True,,0,1,1,2013,"CT Public Act 13-3, April 2013 (post-Newtown). 10-round limit, with grandfathering of pre-existing magazines requiring registration. Tufts: 0->1 in 2013. Matches RAND."
Delaware,DE,magazine,first 0-to-1 switch in magazine (Tufts),2022,True,True,,0,1,0,2022,DE HB 450 / Lethal Firearms Safety Act of 2022. 17-round limit. Tufts: 0->1 in 2022. Matches RAND.
Florida,FL,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Georgia,GA,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Hawaii,HI,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,"HI bans LCMs for HANDGUNS only (no long-gun coverage), so Tufts coding rule (must cover long guns) yields magazine==0 throughout. RAND lists HI's handgun-only LCM provision but excludes from a broad state-LCM list for the same reason. No discrepancy."
Iowa,IA,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
Idaho,ID,magazine,first 0-to-1 switch in magazine (Tufts),,False,False,,0,0,0,,
